,study_accession,experiment_accession,experiment_title,sample_taxon_id,sample_scientific_name,experiment_library_strategy,experiment_library_source,experiment_library_selection,sample_accession,sample_alias,experiment_instrument_model,pool_member_spots,run_1_size,run_1_accession,run_1_total_spots,run_1_total_bases
20,SRP460180,SRX21766223,C. zeylanoides UCD849 Oxford Nanopore run1,5493,[Candida] zeylanoides,WGS,GENOMIC,RANDOM,SRS18872527,Candida zeylanoides UCD849,MinION,31260,141146947,SRR26049867,31260,153129364
21,SRP458387,SRX21625032,Metagenome shotgun sequencing of Brown Biofilm sample 3 by using Nanopore R10.4,433727,hot springs metagenome,WGS,METAGENOMIC,RANDOM,SRS18796723,B3-Nanopore,MinION,783587,3161326905,SRR25904938,783587,3552276659
22,SRP458387,SRX21625031,Metagenome shotgun sequencing of Green Biofilm sample 3 by using Nanopore R10.4,433727,hot springs metagenome,WGS,METAGENOMIC,RANDOM,SRS18796722,G3-Nanopore,MinION,906243,4571272557,SRR25904939,906243,5176974840
23,SRP458186,SRX21610654,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783881,VRE Isolate 7 Nanopore,MinION,547771,804437011,SRR25890185,547771,847352289
24,SRP458186,SRX21610653,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783882,VRE Isolate 6 Nanopore,MinION,637003,1515862417,SRR25890186,637003,1614056696
25,SRP458186,SRX21610652,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783880,VRE Isolate 5 Nanopore,MinION,288239,555741504,SRR25890187,288239,590727160
26,SRP458186,SRX21610651,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783879,VRE Isolate 4 Nanopore,MinION,345592,576144786,SRR25890188,345592,609771320
27,SRP458186,SRX21610650,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783876,VRE Isolate 3 Nanopore,MinION,265656,447399123,SRR25890189,265656,473700357
28,SRP458186,SRX21610649,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783877,MRSA Isolate 6 Nanopore,MinION,547443,506732728,SRR25890190,547443,520656722
29,SRP458186,SRX21610648,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783878,VRE Isolate 2 Nanopore,MinION,819239,1767909800,SRR25890191,819239,1877547666
30,SRP458186,SRX21610647,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783875,VRE Isolate 1 Nanopore,MinION,702895,1732611324,SRR25890192,702895,1846176767
31,SRP458186,SRX21610638,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783863,MRSA Isolate 5 Nanopore,MinION,88351,222172529,SRR25890201,88351,237481660
32,SRP458186,SRX21610624,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783854,MRSA Isolate 10 Nanopore,MinION,218220,275894169,SRR25890215,218220,288332772
33,SRP458186,SRX21610613,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783840,MRSA Isolate 9 Nanopore,MinION,135406,256137216,SRR25890226,135406,271776329
34,SRP458186,SRX21610604,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783832,VRE Isolate 24 Nanopore,MinION,632871,1951504567,SRR25890235,632871,2090395257
35,SRP458186,SRX21610603,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783831,VRE Isolate 23 Nanopore,MinION,253960,559981487,SRR25890236,253960,598003623
36,SRP458186,SRX21610602,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783830,MRSA Isolate 8 Nanopore,MinION,190305,274026444,SRR25890237,190305,287955563
37,SRP458186,SRX21610601,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783828,VRE Isolate 22 Nanopore,MinION,1177642,1935543668,SRR25890238,1177642,2040282517
38,SRP458186,SRX21610600,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783829,VRE Isolate 21 Nanopore,MinION,549550,1533316471,SRR25890239,549550,1638688225
39,SRP458186,SRX21610599,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783827,VRE Isolate 20 Nanopore,MinION,172567,395944324,SRR25890240,172567,423342350
40,SRP458186,SRX21610598,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783826,VRE Isolate 19 Nanopore,MinION,677013,1556114909,SRR25890241,677013,1655478041
41,SRP458186,SRX21610597,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783824,VRE Isolate 18 Nanopore,MinION,488842,1123228505,SRR25890242,488842,1194562475
42,SRP458186,SRX21610596,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783825,VRE Isolate 17 Nanopore,MinION,170180,356906829,SRR25890243,170180,380541830
43,SRP458186,SRX21610595,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783823,VRE Isolate 16 Nanopore,MinION,201517,405519321,SRR25890244,201517,432154188
44,SRP458186,SRX21610594,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783822,VRE Isolate 15 Nanopore,MinION,232042,383465360,SRR25890245,232042,405938741
45,SRP458186,SRX21610593,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783820,VRE Isolate 14 Nanopore,MinION,224763,407428413,SRR25890246,224763,432260419
46,SRP458186,SRX21610592,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783821,VRE Isolate 13 Nanopore,MinION,543063,799498825,SRR25890247,543063,842194019
47,SRP458186,SRX21610591,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783819,MRSA Isolate 7 Nanopore,MinION,101901,209228924,SRR25890248,101901,222523091
48,SRP458186,SRX21610590,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783817,VRE Isolate 12 Nanopore,MinION,605543,1643609097,SRR25890249,605543,1755867695
49,SRP458186,SRX21610589,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783816,VRE Isolate 11 Nanopore,MinION,458486,981668681,SRR25890250,458486,1042138960
50,SRP458186,SRX21610588,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783818,VRE Isolate 10 Nanopore,MinION,249123,525985543,SRR25890251,249123,560472534
51,SRP458186,SRX21610587,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783815,VRE Isolate 9 Nanopore,MinION,281484,610008229,SRR25890252,281484,651078156
52,SRP458186,SRX21610586,Nanopore sequencing data of VRE,1350,Enterococcus,WGS,GENOMIC,unspecified,SRS18783814,VRE Isolate 8 Nanopore,MinION,551907,1329227832,SRR25890253,551907,1415943149
53,SRP458186,SRX21610582,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783810,MRSA Isolate 4 Nanopore,MinION,318105,348578203,SRR25890257,318105,361692000
54,SRP458186,SRX21610575,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783804,MRSA Isolate 24 Nanopore,MinION,549416,589876775,SRR25890264,549416,611764376
55,SRP458186,SRX21610574,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783801,MRSA Isolate 23 Nanopore,MinION,1113417,842758703,SRR25890265,1113417,854476029
56,SRP458186,SRX21610573,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783799,MRSA Isolate 22 Nanopore,MinION,236572,338076922,SRR25890266,236572,355175336
57,SRP458186,SRX21610572,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783806,MRSA Isolate 21 Nanopore,MinION,426881,469935852,SRR25890267,426881,487503104
58,SRP458186,SRX21610571,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783800,MRSA Isolate 3 Nanopore,MinION,109161,221554605,SRR25890268,109161,235523384
59,SRP458186,SRX21610570,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783795,MRSA Isolate 20 Nanopore,MinION,493209,445571202,SRR25890269,493209,457301047
60,SRP458186,SRX21610569,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783793,MRSA Isolate 19 Nanopore,MinION,644383,555831502,SRR25890270,644383,568289705
61,SRP458186,SRX21610568,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783798,MRSA Isolate 18 Nanopore,MinION,711130,645660601,SRR25890271,711130,662878997
62,SRP458186,SRX21610567,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783796,MRSA Isolate 17 Nanopore,MinION,327904,413296355,SRR25890272,327904,431331966
63,SRP458186,SRX21610566,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783797,MRSA Isolate 16 Nanopore,MinION,217291,323660838,SRR25890273,217291,340362897
64,SRP458186,SRX21610565,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783794,MRSA Isolate 15 Nanopore,MinION,267804,314628080,SRR25890274,267804,327661599
65,SRP458186,SRX21610564,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783791,MRSA Isolate 14 Nanopore,MinION,345992,401327419,SRR25890275,345992,416957312
66,SRP458186,SRX21610563,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783789,MRSA Isolate 13 Nanopore,MinION,187889,314899986,SRR25890276,187889,332432329
67,SRP458186,SRX21610562,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783792,MRSA Isolate 12 Nanopore,MinION,371820,294023732,SRR25890277,371820,299142077
68,SRP458186,SRX21610561,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783788,MRSA Isolate 11 Nanopore,MinION,146436,215505878,SRR25890278,146436,226831015
69,SRP458186,SRX21610560,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783790,MRSA Isolate 2 Nanopore,MinION,205432,277217126,SRR25890279,205432,290681301
70,SRP458186,SRX21610559,Nanopore sequencing data of MRSA,1279,Staphylococcus,WGS,GENOMIC,unspecified,SRS18783787,MRSA Isolate 1 Nanopore,MinION,230590,273516367,SRR25890280,230590,284865679
71,SRP457925,SRX21586902,WGS of Staphylococcus aureus: sweet potato leaf,1280,Staphylococcus aureus,WGS,GENOMIC,PCR,SRS18786956,21SAU_AGRO3,MinION,89605,752537960,SRR25865495,89605,853423688
72,SRP454175,SRX21310055,"SQK-LSK112 library of Lacticaseibacillus parahuelsenbergensis NCIMB 15471: R10.4 flowcell on GridION, guppy v6.2.11 in super high accuracy mode",3068305,Lacticaseibacillus sp. NCIMB 15471,WGS,GENOMIC,RANDOM,SRS18558045,LACPH,GridION,150749,558069009,SRR25581455,150749,633187301
73,SRP453417,SRX21253748,Streptomyces PU10 genome sequencing,3062780,Streptomyces sp. PU10,WGS,GENOMIC,RANDOM,SRS18507742,Strep_PU10,MinION,59349,213527832,SRR25523715,59349,246271805
74,SRP446502,SRX20823701,"GSM7518496: 12K MPRA experiment on AML12 (5prime library, AML12, rep 2, Plasmid); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS18102408,GSM7518496,NextSeq 2000,37135636,1172986972,SRR25069672,37135636,3713563600
75,SRP446502,SRX20823700,"GSM7518495: 12K MPRA experiment on AML12 (5prime library, AML12, rep 2, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS18102409,GSM7518495,NextSeq 2000,39222066,1234912765,SRR25069673,39222066,3922206600
76,SRP446502,SRX20823699,"GSM7518494: 12K MPRA experiment on AML12 (5prime library, AML12, rep 1, Plasmid); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS18102406,GSM7518494,NextSeq 2000,40220289,1261957170,SRR25069674,40220289,4022028900
77,SRP446502,SRX20823698,"GSM7518493: 12K MPRA experiment on AML12 (5prime library, AML12, rep 1, cDNA); Mus musculus; OTHER",10090,Mus musculus,OTHER,GENOMIC,other,SRS18102407,GSM7518493,NextSeq 2000,35047813,1099684686,SRR25069675,35047813,3504781300
78,SRP445366,SRX20750346,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039721,RRN_GFX0088055.fastq,GridION,10136,39645682,SRR24994289,10136,45202399
79,SRP445366,SRX20750345,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039720,RRN_GFX0088061.fastq,GridION,1923,7601092,SRR24994290,1923,8615236
80,SRP445366,SRX20750344,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039719,RRN_GFX0088067.fastq,GridION,4440,17689960,SRR24994291,4440,20123977
81,SRP445366,SRX20750343,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039718,RRN_GFX0088073.fastq,GridION,3907,15303612,SRR24994292,3907,17375679
82,SRP445366,SRX20750342,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039717,RRN_GFX0088078.fastq,GridION,12918,49949332,SRR24994293,12918,57725441
83,SRP445366,SRX20750341,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039716,RRN_GFX0088096.fastq,GridION,6572,25696128,SRR24994294,6572,29298926
84,SRP445366,SRX20750340,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039715,RRN_GFX0106256.fastq,GridION,8672,33893876,SRR24994295,8672,38654184
85,SRP445366,SRX20750339,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039714,RRN_GFX0106258.fastq,GridION,6170,24312019,SRR24994296,6170,27712546
86,SRP445366,SRX20750338,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039712,RRN_GFX0106263.fastq,GridION,13005,50886555,SRR24994297,13005,58035273
87,SRP445366,SRX20750336,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039725,RRN_GFX0106270.fastq,GridION,17363,67816420,SRR24994299,17363,77301144
88,SRP445366,SRX20750335,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039711,RRN_GFX0106273.fastq,GridION,5317,20542167,SRR24994300,5317,23396369
89,SRP445366,SRX20750334,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039726,RRN_GFX0106286.fastq,GridION,3089,12053099,SRR24994301,3089,13673875
90,SRP445366,SRX20750333,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039710,RRN_GFX0106290.fastq,GridION,17897,70011423,SRR24994302,17897,79891243
91,SRP445366,SRX20750332,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039709,RRN_GFX0106294.fastq,GridION,6385,25006202,SRR24994303,6385,28464134
92,SRP445366,SRX20750331,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039707,RRN_GFX0106298.fastq,GridION,10048,39610349,SRR24994304,10048,45105482
93,SRP445366,SRX20750330,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039705,RRN_GFX0106299.fastq,GridION,8126,32227517,SRR24994305,8126,36765605
94,SRP445366,SRX20750329,16S-ITS-23S Rescue samples,408170,human gut metagenome,AMPLICON,GENOMIC,PCR,SRS18039704,zymo_gut_RRN_1.fastq,GridION,5750,23010660,SRR24994306,5750,26184176
95,SRP445366,SRX20750328,16S-ITS-23S Rescue samples,408170,human gut metagenome,AMPLICON,GENOMIC,PCR,SRS18039703,zymo_gut_RRN_2.fastq,GridION,5969,23866279,SRR24994307,5969,27111342
96,SRP445366,SRX20750327,16S-ITS-23S Rescue samples,408170,human gut metagenome,AMPLICON,GENOMIC,PCR,SRS18039702,zymo_gut_RRN_3.fastq,GridION,6198,24747236,SRR24994308,6198,28207823
97,SRP445366,SRX20750325,16S-ITS-23S Rescue samples,408170,human gut metagenome,AMPLICON,GENOMIC,PCR,SRS18039698,zymo_gut_RRN_4.fastq,GridION,6361,25332773,SRR24994310,6361,28805032
98,SRP445366,SRX20750324,16S-ITS-23S Rescue samples,1235509,synthetic metagenome,AMPLICON,GENOMIC,PCR,SRS18039697,zymo_mock_RRN_1.fastq,GridION,8854,34269221,SRR24994311,8854,39369908
99,SRP445366,SRX20750323,16S-ITS-23S Rescue samples,1235509,synthetic metagenome,AMPLICON,GENOMIC,PCR,SRS18039696,zymo_mock_RRN_2.fastq,GridION,16365,63104017,SRR24994312,16365,72520245
100,SRP445366,SRX20750322,16S-ITS-23S Rescue samples,1235509,synthetic metagenome,AMPLICON,GENOMIC,PCR,SRS18039695,zymo_mock_RRN_4.fastq,GridION,11493,44855100,SRR24994313,11493,50985462
101,SRP445366,SRX20750321,16S-ITS-23S Rescue samples,1235509,synthetic metagenome,AMPLICON,GENOMIC,PCR,SRS18039693,zymo_mock_RRN_3.fastq,GridION,9711,37424608,SRR24994314,9711,43057251
102,SRP445366,SRX20750320,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039694,RRN_GFX0088054.fastq,GridION,5101,20296047,SRR24994315,5101,23074596
103,SRP445366,SRX20750318,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039722,RRN_GFX0084035.fastq,GridION,6374,25237151,SRR24994317,6374,28702912
104,SRP445366,SRX20750317,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039691,RRN_GFX0084033.fastq,GridION,6927,27727895,SRR24994318,6927,31628059
105,SRP445366,SRX20750316,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039690,RRN_GFX0084031.fastq,GridION,10747,41805243,SRR24994319,10747,47605502
106,SRP445366,SRX20750315,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039689,RRN_GFX0084020.fastq,GridION,4813,18909216,SRR24994320,4813,21535952
107,SRP445366,SRX20750314,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039687,pseudo_v3v4_GFX0106299.fastq,GridION,7895,3299637,SRR24994321,7895,3325600
108,SRP445366,SRX20750313,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039686,pseudo_v3v4_GFX0106298.fastq,GridION,9760,4080793,SRR24994322,9760,4122325
109,SRP445366,SRX20750312,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039684,pseudo_v3v4_GFX0106294.fastq,GridION,6200,2622048,SRR24994323,6200,2630681
110,SRP445366,SRX20750311,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039683,pseudo_v3v4_GFX0106290.fastq,GridION,17393,7236262,SRR24994324,17393,7371045
111,SRP445366,SRX20750310,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039682,pseudo_v3v4_GFX0106286.fastq,GridION,2979,1291025,SRR24994325,2979,1264985
112,SRP445366,SRX20750309,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039700,pseudo_v3v4_GFX0106273.fastq,GridION,5131,2186160,SRR24994326,5131,2185433
113,SRP445366,SRX20750307,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039680,pseudo_v3v4_GFX0106270.fastq,GridION,16805,6984522,SRR24994328,16805,7107935
114,SRP445366,SRX20750306,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039679,pseudo_v3v4_GFX0106263.fastq,GridION,12643,5288687,SRR24994329,12643,5370395
115,SRP445366,SRX20750305,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039677,pseudo_v3v4_GFX0106258.fastq,GridION,5978,2520095,SRR24994330,5978,2524846
116,SRP445366,SRX20750304,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039676,pseudo_v3v4_GFX0106256.fastq,GridION,8404,3520003,SRR24994331,8404,3554862
117,SRP445366,SRX20750303,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039675,pseudo_v3v4_GFX0088096.fastq,GridION,6388,2678471,SRR24994332,6388,2684889
118,SRP445366,SRX20750302,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039699,pseudo_v3v4_GFX0088078.fastq,GridION,12570,5188602,SRR24994333,12570,5316213
119,SRP445366,SRX20750301,16S-ITS-23S Rescue samples,1679718,human saliva metagenome,AMPLICON,GENOMIC,PCR,SRS18039674,pseudo_v3v4_GFX0088073.fastq,GridION,3795,1628128,SRR24994334,3795,1606796
