,run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_taxid,organism_name,library_name,library_strategy,library_source,library_selection,library_layout,sample_accession,sample_title,biosample,bioproject,instrument,instrument_model,instrument_model_desc,total_spots,total_size,run_total_spots,run_total_bases,run_alias,public_filename,public_size,public_date,public_md5,public_version,public_semantic_name,public_supertype,public_sratoolkit,aws_url,aws_free_egress,aws_access_type,public_url,ncbi_url,ncbi_free_egress,ncbi_access_type,gcp_url,gcp_free_egress,gcp_access_type,experiment_alias,strain,host,collection_date,geo_loc_name,sample_type,collected_by,average coverage,biosamplemodel,ena_fastq_http,ena_fastq_http_1,ena_fastq_http_2,ena_fastq_ftp,ena_fastq_ftp_1,ena_fastq_ftp_2,isolation_source,lat_lon,depth,elev,env_broad_scale,env_local_scale,env_medium,isol_growth_condt,type-material,study_id,source_type,purpose_of_sampling,project_name,sequenced_by,facility_type,coll_site_geo_feat,food_type_processed,serovar,sub_species,ifsac_category,food_origin,intended_consumer,food_product_type,tax id,subsrc_note,host_body_product,host_disease,isolate,dev_stage,tissue,biomaterial_provider,host_tissue_sampled,passage_history,culture_collection,num_replicons,ref_biomaterial,age,sex,cell_line
1,SRR25581455,SRP454175,Lacticaseibacillus parahuelsenbergensis NCIMB 15471 Genome sequencing and assembly,SRX21310055,"SQK-LSK112 library of Lacticaseibacillus parahuelsenbergensis NCIMB 15471: R10.4 flowcell on GridION, guppy v6.2.11 in super high accuracy mode","SQK-LSK112 library of Lacticaseibacillus parahuelsenbergensis NCIMB 15471: R10.4 flowcell on GridION, guppy v6.2.11 in super high accuracy mode",3068305,Lacticaseibacillus sp. NCIMB 15471,LACPH_ONT,WGS,GENOMIC,RANDOM,SINGLE,SRS18558045,,SAMN36868838,PRJNA1002950,GridION,GridION,OXFORD_NANOPORE,150749,558069009,150749,633187301,ONT_MIN112-LSK112.fastq.gz,SRR25581455,558071236,2023-08-09 07:47:39,aeffbcac80fe59aa7c315ca2795be068,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR25581455/SRR25581455,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR025/25581/SRR25581455/SRR25581455.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR025/25581/SRR25581455/SRR25581455.1,worldwide,anonymous,gs://sra-pub-run-9/SRR25581455/SRR25581455.1,gs.US,gcp identity,,NCIMB 15471,,2016-05-16,Austria,pure culture,"Dr. Buchebner-Jance, Marlene",,"Microbe, viral or environmental",,,,,,,grass silage,,,,,,,,,,,,,,,,,,,,,,,3068305,,,,,,,NCIMB 15471,,,NCIMB:15471,,,,,
2,SRR27467479,SRP482615,Serratia K-M0228 Genome sequencing and assembly,SRX23139022,"ONT SQK-NBD112-96 library of Serratia sp. K-M0228: R10.4 flowcell on GridION, guppy v6.2.7 in super high accuracy mode","ONT SQK-NBD112-96 library of Serratia sp. K-M0228: R10.4 flowcell on GridION, guppy v6.2.7 in super high accuracy mode",3112560,Serratia sp. K-M0228,ONT_K-M0228_1,WGS,GENOMIC,RANDOM,SINGLE,SRS20090082,,SAMN39290590,PRJNA1062297,GridION,GridION,OXFORD_NANOPORE,27391,117139007,27391,135393213,ONT_K-M0228_1.fastq.gz,SRR27467479,117141243,2024-01-09 14:11:52,bdc5a02363bdf3951b4f70ad40675376,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27467479/SRR27467479,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR027/27467/SRR27467479/SRR27467479.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR027/27467/SRR27467479/SRR27467479.1,worldwide,anonymous,gs://sra-pub-run-10/SRR27467479/SRR27467479.1,gs.US,gcp identity,,K-M0228,Homo sapiens,2022-03-17,"Germany: Klinikum Bielefeld - Mitte, Bielefeld",,Klinikum Bielefeld - Mitte,,Pathogen.cl,,,,,,,wound swab,52.01396108 N 8.54461245 E,,,,,,,,,,,,,,,,,,,,,,3112560,,,bacterial infectious disease,,,,,,,,,,,,
2,SRR27467450,SRP482612,Serratia K-M0260 Genome sequencing and assembly,SRX23138993,"ONT SQK-NBD112-96 library of Serratia sp. K-M0260: R10.4 flowcell on GridION, guppy v6.2.7 in super high accuracy mode","ONT SQK-NBD112-96 library of Serratia sp. K-M0260: R10.4 flowcell on GridION, guppy v6.2.7 in super high accuracy mode",3112561,Serratia sp. K-M0260,ONT_K-M0260_1,WGS,GENOMIC,RANDOM,SINGLE,SRS20090057,,SAMN39290592,PRJNA1062298,GridION,GridION,OXFORD_NANOPORE,27668,157460057,27668,183723032,ONT_K-M0260_1.fastq.gz,SRR27467450,157462293,2024-01-09 14:10:25,2c1f956e665686ac5ad0ed46d6d1e2d7,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27467450/SRR27467450,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR027/27467/SRR27467450/SRR27467450.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR027/27467/SRR27467450/SRR27467450.1,worldwide,anonymous,gs://sra-pub-run-10/SRR27467450/SRR27467450.1,gs.US,gcp identity,,K-M0260,Homo sapiens,2022-03-18,"Germany: Klinikum Bielefeld - Mitte, Bielefeld",,Klinikum Bielefeld - Mitte,,Pathogen.cl,,,,,,,wound swab,52.01396108 N 8.54461245 E,,,,,,,,,,,,,,,,,,,,,,3112561,,,bacterial infectious disease,,,,,,,,,,,,
1,SRR27467590,SRP482618,Serratia K-M0252 Genome sequencing and assembly,SRX23139135,"ONT SQK-NBD112-24 library of Serratia sp. K-M0252: R10.4 flowcell on GridION, guppy v6.3.8 in super high accuracy mode","ONT SQK-NBD112-24 library of Serratia sp. K-M0252: R10.4 flowcell on GridION, guppy v6.3.8 in super high accuracy mode",3112562,Serratia sp. K-M0252,ONT_K-M0252_2,WGS,GENOMIC,RANDOM,SINGLE,SRS20090192,,SAMN39290591,PRJNA1062299,GridION,GridION,OXFORD_NANOPORE,7401,39959671,7401,46610443,ONT_K-M0252_2.fastq.gz,SRR27467590,39961905,2024-01-09 14:31:52,5f15914bf41890520e9ba0ab18e3b4d5,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27467590/SRR27467590,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR027/27467/SRR27467590/SRR27467590.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR027/27467/SRR27467590/SRR27467590.1,worldwide,anonymous,gs://sra-pub-run-10/SRR27467590/SRR27467590.1,gs.US,gcp identity,,K-M0252,Homo sapiens,missing,"Germany: Klinikum Bielefeld - Mitte, Bielefeld",,Klinikum Bielefeld - Mitte,,Pathogen.cl,,,,,,,urine,52.01396108 N 8.54461245 E,,,,,,,,,,,,,,,,,,,,,,3112562,,,urinary tract infection,,,,,,,,,,,,
2,SRR26049867,SRP460180,[Candida] zeylanoides Genome sequencing and assembly,SRX21766223,C. zeylanoides UCD849 Oxford Nanopore run1,C. zeylanoides UCD849 Oxford Nanopore run1,5493,[Candida] zeylanoides,UCD849_minion_library1,WGS,GENOMIC,RANDOM,SINGLE,SRS18872527,,SAMN37373126,PRJNA1016273,MinION,MinION,OXFORD_NANOPORE,31260,141146947,31260,153129364,UCD849_minion_run1.fastq.gz,SRR26049867,141149179,2023-09-13 11:03:30,b26f893fe0eae980ddf3058cfef99d15,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26049867/SRR26049867,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR026/26049/SRR26049867/SRR26049867.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR026/26049/SRR26049867/SRR26049867.1,worldwide,anonymous,gs://sra-pub-run-3/SRR26049867/SRR26049867.1,gs.US,gcp identity,,,,2022-09-01,"Ireland: Kinnea, Co. Donegal",cell culture,Conor Hession,,"Microbe, viral or environmental",,,,,,,soil,55.271427 N 7.474390 W,,,,,,,,,,,,,,,,,,,,,,,,,,UCD849,,,,,,,,,,,
11,SRR23796606,SRP426545,Salmonella enterica subsp. enterica genome sequencing for One Health Surveillance in Palestine,SRX19628687,Nanopore sequencing of Campylobacter jejuni from human stool,Nanopore sequencing of Campylobacter jejuni from human stool,596,Salmonella enterica subsp. enterica serovar Muenchen,Salmonella_enterica_Human_faeces_1_2021,WGS,GENOMIC,RANDOM,SINGLE,SRS16998279,,SAMN33677887,PRJNA942086,MinION,MinION,OXFORD_NANOPORE,18881,124611902,18881,146841301,Salmonella_enterica_Human_faeces_1_2021.fastq,SRR23796606,124614131,2023-03-10 02:55:53,7922e54b3f9fb930de671657ddd40f35,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR23796606/SRR23796606,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR023/23796/SRR23796606/SRR23796606.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR023/23796/SRR23796606/SRR23796606.1,worldwide,anonymous,gs://sra-pub-run-6/SRR23796606/SRR23796606.1,gs.US,gcp identity,,PS_Mu_11_2021,Homo sapiens,2021-08-07,State of Palestine: West Bank,,Swiss Tropical and Public Health Institute,,One Health Enteric,,,,,,,State of Palestine: West Bank,,,,,,,,,1,human,research,Salmonella enterica subsp. enterica genome sequencing for One Health Surveillance in Palestine,Swiss Tropical and Public Health Institute,,,,Muenchen,enterica,,,,,,,stool,,,,,,,,,,,,,
1,SRR23693644,SRP422916,Miscellaneous species: genome sequencing and assembly,SRX19555864,Long read sequencing of Proteus mirabilis HK294,Long read sequencing of Proteus mirabilis HK294,584,Proteus mirabilis,ILS_ONT_2023_03_01,WGS,GENOMIC,RANDOM,SINGLE,SRS16940532,,SAMN33575657,PRJNA935533,MinION,MinION,OXFORD_NANOPORE,15165,96592138,15165,105212744,HK294.fastq.gz,SRR23693644,96594368,2023-03-03 07:48:47,713a070020e44b0128e1228644761f65,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR23693644/SRR23693644,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR023/23693/SRR23693644/SRR23693644.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR023/23693/SRR23693644/SRR23693644.1,worldwide,anonymous,gs://sra-pub-run-11/SRR23693644/SRR23693644.1,gs.US,gcp identity,,HK294,Gallus gallus domesticus,2022,China: Hongkong,whole organism,"Institute for Food Safety and Hygiene, University of Zurich",,"Microbe, viral or environmental",,,,,,,pooled poultry feces,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,
13,SRR23796608,SRP426545,Salmonella enterica subsp. enterica genome sequencing for One Health Surveillance in Palestine,SRX19628685,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,Nanopore sequencing of Campylobacter jejuni from chicken neck skin,57045,Salmonella enterica subsp. enterica serovar Paratyphi B,Salmonella_enterica_Chicken_meat_7_2021,WGS,GENOMIC,RANDOM,SINGLE,SRS16998277,,SAMN33677885,PRJNA942086,MinION,MinION,OXFORD_NANOPORE,24043,168308590,24043,198288866,Salmonella_enterica_Chicken_meat_7_2021.fastq,SRR23796608,168310822,2023-03-10 02:58:02,d59e40d948ec08ce63990e9203b6fc7c,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR23796608/SRR23796608,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR023/23796/SRR23796608/SRR23796608.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR023/23796/SRR23796608/SRR23796608.1,worldwide,anonymous,gs://sra-pub-run-6/SRR23796608/SRR23796608.1,gs.US,gcp identity,,PS_PB_1_2021,,2021-10-15,State of Palestine: West Bank,,Swiss Tropical and Public Health Institute,,One Health Enteric,,,,,,,State of Palestine: West Bank,,,,,,,,,7,food,research,Salmonella enterica subsp. enterica genome sequencing for One Health Surveillance in Palestine,Swiss Tropical and Public Health Institute,,,,Paratyphi B,enterica,chicken,State of Palestine: West Bank,human as food consumer,chicken [FOODON:03411457],57045,originally submitted as Salmonella enterica subsp. enterica serovar Muenchen,,,,,,,,,,,,,,
0,SRR24446466,SRP436136,Yeasts from cold environments Genome sequencing and assembly,SRX20233647,WGS of DBVPG5303 - psychrophilic yeast,WGS of DBVPG5303 - psychrophilic yeast,1851511,Naganishia onofrii,DBVPG5303,WGS,GENOMIC,RANDOM,SINGLE,SRS17567922,,SAMN33864272,PRJNA947659,MinION,MinION,OXFORD_NANOPORE,631669,1906365012,631669,2135529854,5303_nanopore_all.fastq,SRR24446466,1906367244,2023-05-05 14:42:51,b838b1fe30a73d46d2e4318621df2d88,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24446466/SRR24446466,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR024/24446/SRR24446466/SRR24446466.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR024/24446/SRR24446466/SRR24446466.1,worldwide,anonymous,gs://sra-pub-run-9/SRR24446466/SRR24446466.1,gs.US,gcp identity,,DBVPG 5303,,2004-08,Italy: Alps,,,,MIGS/MIMS/MIMARKS.sediment,,,,,,,,45.804 N 6.840 E,missing,3892 m,tundra,Alps,ice,"MA, PDA, OA: 8Â°C",holotype of Naganishia onofrii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,SRR21006450,SRP390159,Whole genome sequencing of genetically modified Eggerthella lenta,SRX17023197,Oxford MinIon sequencing of E. lenta cgr knockout strain,Oxford MinIon sequencing of E. lenta cgr knockout strain,84112,Eggerthella lenta,barcode12_PJT401cgrKO,WGS,GENOMIC,RANDOM,SINGLE,SRS14468784,,SAMN30167066,PRJNA866504,MinION,MinION,OXFORD_NANOPORE,88068,364123577,88068,407573563,barcode12_pjt401_forNCBI.fastq,SRR21006450.lite,102509354,2022-09-10 16:11:18,fecc2771a1e94e53014f1658fc28154e,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-2/SRR21006450/SRR21006450.lite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR021/21006/SRR21006450/SRR21006450.lite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR021/21006/SRR21006450/SRR21006450.lite.1,worldwide,anonymous,gs://sra-pub-zq-7/SRR21006450/SRR21006450.lite.1,gs.US,gcp identity,,UCSF2243,,2022-02,USA,isolate culture,,,"Microbe, viral or environmental",,,,,,,genetically modified from type strain isolate,,,,,,,,,,,,,,,,,,,,,,,,,,,PJT401,,,,,,,,,,,
2,SRR24446468,SRP436136,Yeasts from cold environments Genome sequencing and assembly,SRX20233645,WGS of MNACCFEE5423 - psychrophilic yeast,WGS of MNACCFEE5423 - psychrophilic yeast,89922,Naganishia friedmannii,MNACCFEE5423,WGS,GENOMIC,RANDOM,SINGLE,SRS17567923,,SAMN33864270,PRJNA947659,MinION,MinION,OXFORD_NANOPORE,400000,1197511136,400000,1338158260,5423_nanopore_all.fastq,SRR24446468,1197513364,2023-05-05 14:40:44,fd076c62a7028cf0b3f8108a6f259e2d,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24446468/SRR24446468,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR024/24446/SRR24446468/SRR24446468.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR024/24446/SRR24446468/SRR24446468.1,worldwide,anonymous,gs://sra-pub-run-9/SRR24446468/SRR24446468.1,gs.US,gcp identity,,MNA-CCFEE 5423,,2004-01-16,Antarctica: Vegetation Island,,,,MIGS/MIMS/MIMARKS.sediment,,,,,,,,74.784 S 163.644 E,missing,55 m,polar desert,Vegetation Island,granite,"MA, PDA, OA: 8Â°C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,SRR24446466,SRP436136,Yeasts from cold environments Genome sequencing and assembly,SRX20233647,WGS of DBVPG5303 - psychrophilic yeast,WGS of DBVPG5303 - psychrophilic yeast,1851511,Naganishia onofrii,DBVPG5303,WGS,GENOMIC,RANDOM,SINGLE,SRS17567922,,SAMN33864272,PRJNA947659,MinION,MinION,OXFORD_NANOPORE,631669,1906365012,631669,2135529854,5303_nanopore_all.fastq,SRR24446466,1906367244,2023-05-05 14:42:51,b838b1fe30a73d46d2e4318621df2d88,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24446466/SRR24446466,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR024/24446/SRR24446466/SRR24446466.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR024/24446/SRR24446466/SRR24446466.1,worldwide,anonymous,gs://sra-pub-run-9/SRR24446466/SRR24446466.1,gs.US,gcp identity,,DBVPG 5303,,2004-08,Italy: Alps,,,,MIGS/MIMS/MIMARKS.sediment,,,,,,,,45.804 N 6.840 E,missing,3892 m,tundra,Alps,ice,"MA, PDA, OA: 8Â°C",holotype of Naganishia onofrii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SRR21397272,SRP395331,Homo sapiens (HCC78 cell line) Raw sequence reads,SRX17402536,scWGA of Homo sapiens (HCC-78 cell line),scWGA of Homo sapiens (HCC-78 cell line),9606,Homo sapiens,sample_4,WGA,GENOMIC,MDA,SINGLE,SRS14960507,,SAMN30622566,PRJNA875576,MinION,MinION,OXFORD_NANOPORE,14763253,24572608072,14763253,28816948543,scWGA_MDA_4h_r941.fq.gz,SRR21397272,24572610303,2022-09-16 00:51:03,7b5255d455745edc004888b4481ec3cb,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21397272/SRR21397272,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR021/21397/SRR21397272/SRR21397272.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR021/21397/SRR21397272/SRR21397272.1,worldwide,anonymous,gs://sra-pub-run-1/SRR21397272/SRR21397272.1,gs.US,gcp identity,,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"established from the pleural effusion of a 65-year-old man with adenocarcinoma of the lung, typed as non-small cell lung carcinoma; cells are described in the literature to carry a ROS1 rearrangement",,lung,ATCC,,,,,,65,male,HCC-78
